"","ENSG_ID","gene_name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","ENSG00000198804","MT-CO1",79250.8515331043,6.14546045812465,0.158259530103533,38.8315348472494,0,0
"2","ENSG00000237973","MTCO1P12",6284.47758889505,6.055983934508,0.168072710947054,36.0319286836264,2.64655425540204e-284,2.08680803038451e-280
"3","ENSG00000198712","MT-CO2",52876.3786340107,5.84212028035656,0.176230040487575,33.1505358802233,5.56354064399013e-241,2.92456786519081e-237
"4","ENSG00000198899","MT-ATP6",26939.1788556185,4.90061633033737,0.17062582599577,28.7214218699745,2.06106229106538e-181,7.9966690716331e-178
"5","ENSG00000198938","MT-CO3",28924.6016332842,5.0373991132232,0.17543222412678,28.7142179169023,2.53540553951588e-181,7.9966690716331e-178
"6","ENSG00000198888","MT-ND1",9327.40146169994,4.80012800281496,0.175740058525641,27.3137954037646,2.90875855295621e-164,7.64518706335324e-161
"7","ENSG00000153879","CEBPG",2225.05795202092,-1.81836427818049,0.0684811574771343,-26.5527678732306,2.38597979911484e-155,5.37527163314871e-152
"8","ENSG00000198763","MT-ND2",18987.084505101,4.56537656399464,0.186870889519451,24.4306460772716,8.08249191987568e-132,1.59326121970549e-128
"9","ENSG00000198840","MT-ND3",5067.829114296,5.24097086232663,0.217921296701319,24.049833318998,8.38135532770983e-128,1.46859970575538e-124
"10","ENSG00000198886","MT-ND4",51415.3296398593,4.77460800179177,0.200937308829681,23.7616798473141,8.32108919819183e-125,1.31223576655485e-121
"11","ENSG00000070669","ASNS",3448.93742449626,-2.5387151953269,0.115443938971549,-21.9908920116852,3.5200044350062e-107,5.04640635818616e-104
"12","ENSG00000198744","MTCO3P12",518.547701153052,5.18083323989177,0.241961004721133,21.4118520703897,1.03612156901587e-101,1.36163642861502e-98
"13","ENSG00000198727","MT-CYB",42490.0882305709,3.53445102334323,0.188069273855878,18.7933464668543,8.5606901758926e-79,1.03847756979866e-75
"14","ENSG00000198695","MT-ND6",10195.3856416266,4.01584511902838,0.218487313984995,18.380221010471,1.891962837498e-75,2.13116099623882e-72
"15","ENSG00000124762","CDKN1A",10907.5779925323,-2.50297401390232,0.140300091871686,-17.8401452237925,3.44798673865996e-71,3.62498339124451e-68
"16","ENSG00000130513","GDF15",4933.24674367394,-4.11835660882263,0.241078729195041,-17.0830359964721,1.98515413057294e-65,1.95661753994595e-62
"17","ENSG00000128965","CHAC1",207.981130830833,-5.15549483661055,0.307811304857625,-16.7488807436594,5.77016956584023e-63,5.35268082666473e-60
"18","ENSG00000198959","TGM2",620.457354631982,-3.39651776801311,0.204835914837359,-16.5816515658886,9.45930404111799e-62,8.28740137380171e-59
"19","ENSG00000176171","BNIP3",1163.91924233951,1.9943209997293,0.12060559355537,16.5358914204399,2.02362247922794e-61,1.67960665775919e-58
"20","ENSG00000151012","SLC7A11",970.23048853385,-4.04325810249296,0.247085906371815,-16.3637746962737,3.46940384243409e-60,2.73562492975928e-57
"21","ENSG00000137648","TMPRSS4",561.328046332238,-2.3102690618558,0.145079649358187,-15.9241428558459,4.30877789853609e-57,3.23568702190067e-54
"22","ENSG00000128165","ADM2",165.89282569595,-4.81010927424646,0.304182188845279,-15.8132509089581,2.52114610805923e-56,1.807203369277e-53
"23","ENSG00000181026","AEN",2135.70546134674,-1.52104130250408,0.0964228044266769,-15.7747050767511,4.64562995503771e-56,3.18528627786716e-53
"24","ENSG00000140044","JDP2",256.607629709646,-2.61091853339676,0.166480099218662,-15.6830668989899,1.97484178968888e-55,1.29763562597473e-52
"25","ENSG00000100234","TIMP3",2170.54244377639,-2.9952994473874,0.198524436201202,-15.0878123857342,1.94794344727314e-51,1.18150262167298e-48
"26","ENSG00000134684","YARS1",3048.08333026006,-1.66184123180693,0.110139257520699,-15.0885458029769,1.92641363126936e-51,1.18150262167298e-48
"27","ENSG00000026508","CD44",2697.85063941682,-2.13751143878961,0.143714658313927,-14.8733014701985,4.91296054920529e-50,2.86953288373953e-47
"28","ENSG00000116717","GADD45A",722.37373428745,-2.34134225749238,0.158331958578776,-14.7875531794642,1.76245184924844e-49,9.92638059380281e-47
"29","ENSG00000160200","CBS",1413.92876895527,-2.12738012862323,0.143896031569046,-14.7841473140449,1.85390242710429e-49,1.00813935432533e-46
"30","ENSG00000103257","SLC7A5",4816.06356074432,-3.13864041889143,0.21247898152821,-14.7715336186075,2.23567216372642e-49,1.17521833406552e-46
"31","ENSG00000172927","MYEOV",113.985388014873,-3.34122127398328,0.227036982576095,-14.7166388315763,5.04100308098982e-49,2.5644070512003e-46
"32","ENSG00000111981","ULBP1",213.858925486073,-2.73619843860947,0.18596195067612,-14.713754231235,5.26060903279461e-49,2.5924938889741e-46
"33","ENSG00000228253","MT-ATP8",2764.6781683008,5.25781743061581,0.365009447312511,14.4046064268419,4.84067464978203e-47,2.31325573415341e-44
"34","ENSG00000257540",NA,373.276859691313,-3.15499669392066,0.221047179021201,-14.2729561530304,3.22607990872533e-46,1.49633176942937e-43
"35","ENSG00000175592","FOSL1",152.097945542446,-4.7485098019298,0.335364639804826,-14.1592441131937,1.63745956383176e-45,7.37792494903626e-43
"36","ENSG00000212907","MT-ND4L",5112.66919884455,5.21807895883336,0.374713599829693,13.9255126080424,4.43349195030917e-44,1.94211577934376e-41
"37","ENSG00000183668","PSG9",193.937434017219,-2.41367770559938,0.174347504344872,-13.8440622632885,1.38172123255833e-43,5.88911995606617e-41
"38","ENSG00000120875","DUSP4",3200.99388602442,-1.9287582379764,0.140106417433055,-13.7663803936603,4.06053542597148e-43,1.68512220177817e-40
"39","ENSG00000162772","ATF3",317.388004481336,-2.84741711561848,0.207489383686093,-13.7231942426813,7.37435833246791e-43,2.98188797187228e-40
"40","ENSG00000205426","KRT81",1114.18740313762,-3.06057144271143,0.223770464987192,-13.6772806138049,1.3878668483266e-42,5.47166504952762e-40
"41","ENSG00000152377","SPOCK1",271.589452703803,-2.25871372191632,0.167486279845637,-13.4859626949625,1.89179936592233e-41,7.27650634160859e-39
"42","ENSG00000109099","PMP22",438.705187740455,2.0037597729974,0.149325622061208,13.4187271101812,4.69711736369378e-41,1.76365573393931e-38
"43","ENSG00000210082","MT-RNR2",212013.273392391,2.46334477019025,0.184532722476849,13.3490946056968,1.19897295057094e-40,4.39716358848923e-38
"44","ENSG00000170442","KRT86",305.479855385767,-2.77372190240161,0.211415398285639,-13.1197723765328,2.53695787098844e-39,9.09268764215629e-37
"45","ENSG00000090339","ICAM1",180.616476426467,-2.7360252985961,0.209266987859417,-13.0743282855207,4.61623619037569e-39,1.61773432716055e-36
"46","ENSG00000166986","MARS1",4103.49275045892,-1.63236388149764,0.125314853281504,-13.026100567909,8.69384347672812e-39,2.98047633973918e-36
"47","ENSG00000128342","LIF",128.282915703561,-3.23962614480061,0.251622928517984,-12.8749242522589,6.23001704422227e-38,2.09036954866777e-35
"48","ENSG00000065911","MTHFD2",5914.43969223373,-1.22089674073128,0.0964449152911243,-12.6590057863179,9.97546626762411e-37,3.27735631334234e-34
"49","ENSG00000171401","KRT13",541.488331420945,-2.15672762792764,0.173734193295531,-12.4139502248641,2.19547618650835e-35,7.06584886964013e-33
