"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000419.12",712.875723284355,-1.14699526285471,0.107721250105577,-10.6478086889128,1.78517832733315e-26,2.53977648839931e-25
"ENSG00000001036.13",35.3854935691458,0.998387261326756,0.301574590794545,3.31058150057121,0.000931023355324439,0.00240848163925354
"ENSG00000001167.14",461.131532366294,-0.299048073272704,0.100388799689255,-2.97889878351353,0.00289286320746815,0.00691660120452958
"ENSG00000001460.17",144.071620150637,-0.6455231406277,0.174712888007701,-3.69476544053949,0.000220089866081781,0.000625045386392777
"ENSG00000001461.16",981.940083239542,-0.767216274083026,0.0917261173214303,-8.36420745243709,6.05203532906395e-17,4.98445741724573e-16
"ENSG00000001561.6",594.161140723576,-0.447296751511498,0.093670068699332,-4.7752367188633,1.79495985819481e-06,6.55182435524019e-06
"ENSG00000001617.11",38.1745380844118,-2.01288191393151,0.349658379710879,-5.75671006539553,8.57690339679891e-09,3.87146149267631e-08
"ENSG00000001629.9",493.253573234942,-0.376151153429858,0.101202809637205,-3.71680544026688,0.000201757690821371,0.000576601009819869
"ENSG00000001631.15",430.942521715303,0.604427009839869,0.13372762162364,4.51983668371038,6.18873540650196e-06,2.13504773725377e-05
"ENSG00000002330.13",155.669360770409,-0.916322316314772,0.178389931187748,-5.13662576252904,2.7971518845622e-07,1.10532214123974e-06
"ENSG00000003056.7",1964.34325429132,-0.656401024324582,0.070908895822123,-9.25696299052778,2.10329493378149e-20,2.12574918974691e-19
"ENSG00000003249.13",2.85160765534032,-4.53834490436338,1.51967625929238,-2.98638928956922,0.00282293032074165,0.00676393562850834
"ENSG00000003393.14",228.096723455434,-1.23674332539618,0.139509856995954,-8.86491716088602,7.65609726348531e-19,7.08597083179987e-18
"ENSG00000003400.14",160.599696585333,-0.627563131425864,0.157206728931513,-3.9919610037765,6.55291504592874e-05,0.000199638449139746
"ENSG00000003402.19",272.034477780043,1.78819626188049,0.142449707869057,12.5531760551186,3.81879726215844e-36,8.72489777559639e-35
"ENSG00000003509.15",202.045246272534,-0.684192414248845,0.152611997512904,-4.48321511676036,7.35267413145353e-06,2.51272838309543e-05
"ENSG00000003756.16",391.554260723603,1.12079280319488,0.119153272980496,9.40631151087506,5.13853115192848e-21,5.37026291497493e-20
"ENSG00000004142.11",1506.39539663521,0.470168273751211,0.0778134647092812,6.04224828579226,1.51981344921917e-09,7.27532000247519e-09
"ENSG00000004468.12",376.76550268163,-2.51782958026542,0.792773659163868,-3.17597532556891,0.00149333652440899,0.00374501950985362
"ENSG00000004478.7",2798.09658331665,0.354019644581548,0.0702301312216548,5.04085124751112,4.63465622973932e-07,1.79594190239278e-06
"ENSG00000004487.15",1725.45437999667,-0.169011658714455,0.0707005690788152,-2.39052755750869,0.0168241865045089,0.0347616521252901
"ENSG00000004660.14",85.503350006276,-0.858589137094058,0.228357168067032,-3.75985192127635,0.000170013960428009,0.000490581787888733
"ENSG00000004700.15",584.953043211041,-0.468802525241895,0.100220823031323,-4.67769582270718,2.90116473122531e-06,1.03373233005702e-05
"ENSG00000004766.15",316.352728211193,0.525200803461871,0.116496680829314,4.50828984759979,6.53522567540812e-06,2.24761249412394e-05
"ENSG00000004777.18",37.4972074033818,-1.7880356992343,0.351317478923414,-5.08951534297012,3.58979814990604e-07,1.40698585051812e-06
"ENSG00000004838.13",14.129052233159,-1.82281885943699,0.504753337140066,-3.61130620703785,0.000304658695147003,0.000847369191471536
"ENSG00000004864.13",271.703375735064,0.714019165119782,0.148286876593298,4.81512040393231,1.47111161423393e-06,5.42874652915934e-06
"ENSG00000004866.20",509.918193639684,0.517446093074351,0.101655170203833,5.09020930304675,3.57668501073251e-07,1.40215506213694e-06
"ENSG00000004961.14",402.348246394691,0.591204832711756,0.118253549329625,4.99946797422382,5.74887195848556e-07,2.20608932982161e-06
"ENSG00000004975.11",708.734071465006,-0.713354752039601,0.0982495494873354,-7.26064145598504,3.85258911328463e-13,2.43842037831578e-12
"ENSG00000005007.12",1014.38430580256,0.315613511211281,0.0914224780105195,3.45225286034104,0.000555926485416645,0.00149461927302801
"ENSG00000005020.12",846.026716105336,-0.65301428050473,0.0940996231678312,-6.93960569151321,3.93195859141792e-12,2.31342145487789e-11
"ENSG00000005022.5",4471.12755331376,0.183486899191251,0.0799479835570828,2.29507851264618,0.021728625248912,0.0437621446395989
"ENSG00000005073.5",35.5858928869283,3.36588295409905,0.404730614222868,8.31635373212859,9.07108190277839e-17,7.40583099567201e-16
"ENSG00000005075.15",278.407354856472,-0.558508929799461,0.135295950888644,-4.12805354580894,3.65846933395054e-05,0.000114818263455566
"ENSG00000005100.12",901.814511501047,0.95343817919729,0.0937712386587358,10.1677037952667,2.76346369705222e-24,3.49319082955507e-23
"ENSG00000005156.11",679.921776617703,1.64129656449515,0.097764758270881,16.7882230112771,2.97623421831115e-63,2.22567296712193e-61
"ENSG00000005175.9",1148.90232847261,-0.858381054285245,0.0938352484807512,-9.14774637657968,5.81335905152822e-20,5.73219747363431e-19
"ENSG00000005238.19",46.0856608441562,-3.21069718547368,0.336942842380208,-9.52890752269109,1.58947053311595e-21,1.71036254827072e-20
"ENSG00000005249.12",197.357873550036,-1.61524060459626,0.20757853018874,-7.78134715149786,7.17562901393117e-15,5.10643123510384e-14
"ENSG00000005339.14",345.241175352424,0.988354597996859,0.144308795660676,6.84888674645203,7.44268873198077e-12,4.28550546916188e-11
"ENSG00000005379.15",66.4524569884248,0.53203631282358,0.236260527869447,2.2519052066013,0.0243282630448095,0.0484984795779031
"ENSG00000005436.13",236.914398426798,1.42840236905785,0.136566192212414,10.4594141926145,1.32673376572256e-25,1.80529109803748e-24
"ENSG00000005483.20",570.850609337014,0.622861229874265,0.133118419741089,4.67900108103528,2.8827592310372e-06,1.02789351126417e-05
"ENSG00000005486.16",422.916319779063,-0.381381869489631,0.134621859947045,-2.83298618545051,0.00461153788917195,0.0106398951713096
"ENSG00000005700.14",683.841477713904,0.83762481834144,0.102484345019277,8.17319775214337,3.00321121716732e-16,2.36614224183904e-15
"ENSG00000005801.16",271.594972703947,0.600544073869,0.125848279938652,4.77196886728807,1.82433708703267e-06,6.65223345113859e-06
"ENSG00000005812.10",467.723440484286,0.795298590387395,0.108071756258859,7.35898645417085,1.85311831913738e-13,1.19585931269061e-12
