"","Hut78_c1.sorted.rmdup.count","Hut78_c2.sorted.rmdup.count","Hut78_c3.sorted.rmdup.count","HuT78_Dp_1.sorted.rmdup.count","HuT78_Dp_2.sorted.rmdup.count","HuT78_Dp_3.sorted.rmdup.count","HuT78_DpVp50_1.sorted.rmdup.count","HuT78_DpVp50_2.sorted.rmdup.count","HuT78_DpVp50_3.sorted.rmdup.count"
"ENSG00000000419.12",9.22071598004067,9.00664565704878,9.03919923637015,9.95942102910684,9.7306138741688,9.88196499623226,9.21727531747029,9.2227690899315,9.25627894172846
"ENSG00000000457.13",7.25975831823587,7.61486752858959,7.42286649242623,7.33756438152237,7.30867254923632,7.19897780452845,7.4464867716559,7.59830655240055,7.42448579475093
"ENSG00000000460.16",7.93787878327045,7.97692536646299,8.12520731968876,7.95024363945853,7.85666314554981,8.03227015240789,8.01176521387509,8.0752524307927,8.18017934877764
"ENSG00000000938.12",3.76486270304356,3.43091242322505,3.0832690843687,3.70021078535697,3.38563691198053,3.89609678344125,4.15281333324102,4.02818609217959,3.75762841769595
"ENSG00000000971.15",3.00126458927248,3.02298633263937,3.03731824349343,2.97658297752774,3.09515100243519,3.05027729854386,7.369660301761,7.48641942168199,7.43255740036123
"ENSG00000001036.13",5.58325398930557,5.4934607357118,5.30644625219095,4.98926171090088,4.84032705484149,4.86169669271491,3.81878162083764,3.51731052057517,3.81813255163941
"ENSG00000001084.10",9.97773492689623,9.97059944305682,9.80575742179797,9.9795066225715,9.92507014395001,9.9614840167695,9.86103416807694,9.86814824050384,9.81829282808056
"ENSG00000001167.14",8.71701458592683,8.79798086928255,8.7835981553319,9.01988677079644,8.94570316809406,8.91864043698034,8.74440041210181,8.83673297249188,8.82025338747648
"ENSG00000001460.17",7.04055117826271,7.08203368028963,7.002595224417,7.53797611296355,7.33817229598884,7.45598899292342,7.04750526321201,6.91029343631436,6.63820525366793
"ENSG00000001461.16",9.75952709706529,9.81830647984222,9.90226382251282,10.3898610449868,10.2941421667047,10.3859281375955,9.08300899009314,9.12620219706656,9.26960983260315
"ENSG00000001497.16",10.1390159518858,10.0035290415472,10.047521634701,10.0780938781637,9.88988758643142,9.90834967075877,9.60862189108196,9.56752790380144,9.51239245564381
"ENSG00000001561.6",8.99227052509216,9.01287998556238,8.99312388813225,9.37474365331205,9.25082529878239,9.24553820932537,9.29703323263253,9.29465019161961,9.33990975471101
"ENSG00000001617.11",4.51086745135704,4.5751820891307,4.35930774206308,5.32266845445533,5.45778633276662,5.35445456262074,5.55284708706587,5.37784212479449,5.26599154761188
"ENSG00000001626.14",3.73940118105208,3.51963877298877,3.53522910116104,3.95898566389544,3.49417615926829,4.01130710238578,6.90437820805211,6.8395907786846,7.17758904367281
"ENSG00000001629.9",8.92929193094449,8.83345223952139,8.82377736534587,9.19045857692199,9.0406442791184,9.09881657700397,8.84889590849824,8.85202024907213,8.78085157360787
"ENSG00000001630.15",5.26681620108773,5.48272783614435,5.40435224969295,5.39726782627667,5.52762470394692,5.68770353243789,5.43100240097338,5.57192016072606,5.64688741736586
"ENSG00000001631.15",9.05948754577911,9.10242248652056,8.94712827030644,8.8515558010598,8.45273279242019,8.54686705899326,8.402969248682,8.45876494007837,8.4702548981927
"ENSG00000002016.17",7.34608733797236,7.36829461889064,7.63480733951089,7.32116180188321,7.44973692326107,7.45664533209497,7.22202392453147,7.34879867867716,7.31550494277026
"ENSG00000002330.13",6.74726560939239,7.05904454084273,6.97207328960636,7.3471653279477,7.66938408154918,7.46824359648521,7.20050089757564,7.27547752047821,7.35130362607659
"ENSG00000002549.12",9.83453724842,9.66386361791621,9.84911129028616,9.93815286162431,9.74301318622664,9.9483266672336,9.99009965941061,10.0126099037447,10.0208453778137
"ENSG00000002726.20",2.09030072511583,1.98567197819937,1.73138498061941,1.80928996055844,1.75922349753384,1.79872150081525,1.52148031430116,1.51990582562997,1.5214165195916
